"UTC","SCLOCK_Full","ET","OrbitNumber","Seconds","Subseconds","Spin","SpinTime","SpinPeriod","SpinPhase","MagPhase","Mag0Second1","Mag0Subsecond1","Mag0Second2","Mag0Subsecond2","IntegrationSectors","IntegrationMultiplier1","IntegrationMultiplier2","IntegrationSpins","MagPhaseValid","MagDataValid","SpinDataValid","ElectronPixel","IonEnergyPixel","IonSpeciesPixel","Subsector1","Subsector2","Subsector3","SpinDuration"
"2012-302T00:00:04.457","1/89078405:24899",404654471.639577,157,89078405,32636,54521,89078406,34123,3006,55756,120,149,110,5,2,2,1,10,"True","True","True","True","True","True",2,2,1,10918
"2012-302T00:00:15.376","1/89078416:20849",404654482.558576,157,89078416,27328,54522,89078417,34123,3487,55783,131,137,120,149,2,2,1,10,"True","True","True","True","True","True",2,2,1,10920
"2012-302T00:00:26.297","1/89078427:16899",404654493.479574,157,89078427,22151,54523,89078428,34124,3967,55801,142,125,131,137,2,2,1,10,"True","True","True","True","True","True",2,2,1,10920
"2012-302T00:00:37.217","1/89078438:12899",404654504.399572,157,89078438,16908,54524,89078439,34124,4375,55708,153,110,142,125,2,2,1,10,"True","True","True","True","True","True",2,2,1,10932
"2012-302T00:00:48.149","1/89078449:9499",404654515.33157,157,89078449,12451,54525,89078450,34124,4855,55657,164,98,153,110,2,2,1,10,"True","True","True","True","True","True",2,2,1,10919
"2012-302T00:00:59.069","1/89078460:5499",404654526.251569,157,89078460,7208,54526,89078461,34124,5336,55679,175,86,164,98,2,2,1,10,"True","True","True","True","True","True",2,2,1,10920
"2012-302T00:01:09.989","1/89078471:1499",404654537.171567,157,89078471,1966,54527,89078472,34124,5817,55700,186,74,175,86,2,2,1,10,"True","True","True","True","True","True",2,2,1,10920
"2012-302T00:01:20.909","1/89078481:47499",404654548.091565,157,89078481,62259,54528,89078482,34124,370,55683,197,61,186,74,2,2,1,10,"True","True","True","True","True","True",2,2,1,10907
"2012-302T00:01:31.816","1/89078492:42849",404654558.998564,157,89078492,56164,54529,89078493,34124,853,55706,208,47,197,61,2,2,1,10,"True","True","True","True","True","True",2,2,1,10920
"2012-302T00:01:42.736","1/89078503:38849",404654569.918562,157,89078503,50921,54530,89078504,34123,1337,55725,219,35,208,47,2,2,1,10,"True","True","True","True","True","True",2,2,1,10920
"2012-302T00:01:53.656","1/89078514:34849",404654580.83856,157,89078514,45678,54531,89078515,34123,1823,55708,230,22,219,35,2,2,1,10,"True","True","True","True","True","True",2,2,1,10918
"2012-302T00:02:04.574","1/89078525:30749",404654591.756558,157,89078525,40304,54532,89078526,34122,2310,55740,241,10,230,22,2,2,1,10,"True","True","True","True","True","True",2,2,1,10917
"2012-302T00:02:15.492","1/89078536:26649",404654602.674557,157,89078536,34930,54533,89078537,34121,2799,55733,251,154,241,10,2,2,1,10,"True","True","True","True","True","True",2,2,1,10918
"2012-302T00:02:26.411","1/89078547:22599",404654613.593555,157,89078547,29622,54534,89078548,34121,3288,55760,6,142,251,154,2,2,1,10,"True","True","True","True","True","True",2,2,1,10918
"2012-302T00:02:37.329","1/89078558:18499",404654624.511553,157,89078558,24248,54535,89078559,34120,3778,55677,17,127,6,142,2,2,1,10,"True","True","True","True","True","True",2,2,1,10919
"2012-302T00:02:48.248","1/89078569:14449",404654635.430552,157,89078569,18939,54536,89078570,34119,4198,55702,28,115,17,127,2,2,1,10,"True","True","True","True","True","True",2,2,1,10928
"2012-302T00:02:59.177","1/89078580:10899",404654646.35955,157,89078580,14286,54537,89078581,34119,4689,55669,39,103,28,115,2,2,1,10,"True","True","True","True","True","True",2,2,1,10918
"2012-302T00:03:10.096","1/89078591:6849",404654657.278548,157,89078591,8978,54538,89078592,34119,5180,55697,50,91,39,103,2,2,1,10,"True","True","True","True","True","True",2,2,1,10917
"2012-302T00:03:21.014","1/89078602:2749",404654668.196546,157,89078602,3604,54539,89078603,34119,5672,55730,61,79,50,91,2,2,1,10,"True","True","True","True","True","True",2,2,1,10917
"2012-302T00:03:31.932","1/89078612:48649",404654679.114545,157,89078612,63766,54540,89078613,34119,233,55725,72,66,61,79,2,2,1,10,"True","True","True","True","True","True",2,2,1,10904
"2012-302T00:03:42.837","1/89078623:43899",404654690.019543,157,89078623,57540,54541,89078624,34119,722,55760,83,52,72,66,2,2,1,10,"True","True","True","True","True","True",2,2,1,10919
"2012-302T00:03:53.756","1/89078634:39849",404654700.938541,157,89078634,52232,54542,89078635,34119,1211,55788,94,40,83,52,2,2,1,10,"True","True","True","True","True","True",2,2,1,10919
